permno,date,ticker,prc,ret,shrout,vol
84788,12-02-2018,AMZN,1386.22998,0.034809,484107,6739042
84788,13-02-2018,AMZN,1414.51001,0.020401,484107,5918068
84788,14-02-2018,AMZN,1451.05005,0.025832,484107,5959195
84788,15-02-2018,AMZN,1461.76001,0.007381,484107,5652710
84788,16-02-2018,AMZN,1448.68994,-0.008941,484107,4472599
84788,20-02-2018,AMZN,1468.34998,0.013571,484608,6499287
84788,21-02-2018,AMZN,1482.92004,0.009923,484608,6304351
84788,22-02-2018,AMZN,1485.33997,0.001632,484608,4858713
84788,23-02-2018,AMZN,1500,0.00987,484608,4418203
84788,26-02-2018,AMZN,1521.94995,0.014633,484608,4955011
84788,27-02-2018,AMZN,1511.97998,-0.006551,484608,4809629
84788,28-02-2018,AMZN,1512.44995,0.000311,484608,4515133
84788,01-03-2018,AMZN,1493.44995,-0.012562,484608,6835633
84788,02-03-2018,AMZN,1500.25,0.004553,484608,6589664
84788,05-03-2018,AMZN,1523.60999,0.015571,484608,5233934
84788,06-03-2018,AMZN,1537.64001,0.009208,484608,4561718
84788,07-03-2018,AMZN,1545,0.004787,484608,4174123
84788,08-03-2018,AMZN,1551.85999,0.00444,484608,3862617
84788,09-03-2018,AMZN,1578.89001,0.017418,484608,4535600
84788,12-03-2018,AMZN,1598.39001,0.01235,484608,5174211
84788,13-03-2018,AMZN,1588.18005,-0.006388,484608,6532152
84788,14-03-2018,AMZN,1591,0.001776,484608,4259444
84788,15-03-2018,AMZN,1582.31995,-0.005456,484608,4069452
84788,16-03-2018,AMZN,1571.68005,-0.006724,484608,5425846
84788,19-03-2018,AMZN,1544.93005,-0.01702,484608,6581016
84788,20-03-2018,AMZN,1586.51001,0.026914,484608,4580073
84788,21-03-2018,AMZN,1581.85999,-0.002931,484608,4750771
84788,22-03-2018,AMZN,1544.92004,-0.023352,484608,6320575
84788,23-03-2018,AMZN,1495.56006,-0.03195,484608,8005783
84788,26-03-2018,AMZN,1555.85999,0.040319,484608,5623903
84788,27-03-2018,AMZN,1497.05005,-0.037799,484608,6999679
84788,28-03-2018,AMZN,1431.42004,-0.04384,484608,13704402
84788,29-03-2018,AMZN,1447.33997,0.011122,485000,12579263
84788,02-04-2018,AMZN,1371.98999,-0.052061,485000,10462807
84788,03-04-2018,AMZN,1392.05005,0.014621,485000,10229718
84788,04-04-2018,AMZN,1410.56995,0.013304,485000,6980978
84788,05-04-2018,AMZN,1451.75,0.029194,485000,6410909
84788,06-04-2018,AMZN,1405.22998,-0.032044,485000,5880769
84788,09-04-2018,AMZN,1406.07996,0.000605,485000,4206906
84788,10-04-2018,AMZN,1436.21997,0.021436,485000,4351744
84788,11-04-2018,AMZN,1427.05005,-0.006385,485000,3582345
84788,12-04-2018,AMZN,1448.5,0.015031,485000,3134677
84788,13-04-2018,AMZN,1430.79004,-0.012226,485000,3684467
84788,16-04-2018,AMZN,1441.5,0.007485,485000,2807924
84788,17-04-2018,AMZN,1503.82996,0.04324,485000,5280137
84788,18-04-2018,AMZN,1527.83997,0.015966,485227,5227599
84788,19-04-2018,AMZN,1556.91003,0.019027,485227,6521225
84788,20-04-2018,AMZN,1527.48999,-0.018896,485227,5538122
84788,23-04-2018,AMZN,1517.85999,-0.006304,485227,4465224
84788,24-04-2018,AMZN,1460.08997,-0.03806,485227,7492599
84788,25-04-2018,AMZN,1460.17004,5.50E-05,485227,6581415
84788,26-04-2018,AMZN,1517.95996,0.039578,485227,8832882
84788,27-04-2018,AMZN,1572.62,0.036009,485227,13050042
84788,30-04-2018,AMZN,1566.13,-0.004127,485227,5463085
84788,01-05-2018,AMZN,1582.26001,0.010299,485227,4570571
84788,02-05-2018,AMZN,1569.68005,-0.007951,485227,4360073
84788,03-05-2018,AMZN,1572.07495,0.001526,485227,4251517
84788,04-05-2018,AMZN,1580.94995,0.005645,485227,3443067
84788,07-05-2018,AMZN,1600.14001,0.012138,485227,3801755
84788,08-05-2018,AMZN,1592.39001,-0.004843,485227,3069149
84788,09-05-2018,AMZN,1608,0.009803,485227,3641497
84788,10-05-2018,AMZN,1609.07996,0.000672,485227,2817252
84788,11-05-2018,AMZN,1602.91003,-0.003834,485227,2263508
84788,14-05-2018,AMZN,1601.54004,-0.000855,485227,2509494
84788,15-05-2018,AMZN,1576.12,-0.015872,485227,5075465
84788,16-05-2018,AMZN,1587.28003,0.007081,485227,2570272
84788,17-05-2018,AMZN,1581.76001,-0.003478,485227,2146606
84788,18-05-2018,AMZN,1574.37,-0.004672,485227,2642084
84788,21-05-2018,AMZN,1585.45996,0.007044,485227,2925235
84788,22-05-2018,AMZN,1581.40002,-0.002561,485227,2115439
84788,23-05-2018,AMZN,1601.85999,0.012938,485227,3361494
84788,24-05-2018,AMZN,1603.06995,0.000755,485227,3429575
84788,25-05-2018,AMZN,1610.15002,0.004417,485227,2719700
